"Date","Title","Price","No of Rating","Manufacturer","ASIN","Best_Seller_In","Sold By","Rating","International Ratings","Global Rating","Url"
"2022-12-24","Bullsone Grasse Diffuser Air Freshener, Blackberry & Cherry, 105ml","","151 ratings","Bullsone","B078X7C9NQ","in Automotive","","","There are 0 reviews and 0 ratings from Singapore","151 global ratings","https://www.amazon.sg/Bullsone-Grasse-Diffuser-Freshener-Blackberry/dp/B078X7C9NQ/ref=zg_bs_automotive_sccl_1/356-6484440-7347308?psc=1"
"2022-12-24","Nilight - 50019R 272pcs Standard & Mini & Low Profile Mini Blade Fuse Assortment, 2A 5A 10A 15A 20A 25A 30A 35A Replacement Fuses for Car Boat Truck SUV Automotive","","1,643 ratings","Nilight","B08D3R1BRY","","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","1,643 global ratings","https://www.amazon.sg/Nilight-Standard-Assortment-Replacement-Automotive/dp/B08D3R1BRY/ref=zg_bs_automotive_sccl_2/356-6484440-7347308?psc=1"
"2022-12-24","Premium Chamois Drying Cloth Car Drying Towel 26"" x 15"" Super Absorbent Fast Drying Chamois Environmental and Durable Car Wash Cloth Accessory","","4 ratings","Ayvicco","B08CKC382F","in Automotive Cloths","","","","4 global ratings","https://www.amazon.sg/Premium-Chamois-Absorbent-Environmental-Accessory/dp/B08CKC382F/ref=zg_bs_automotive_sccl_3/356-6484440-7347308?psc=1"
"2022-12-24","McKee's 37 N-914 Rinseless Wash (Rinseless/Waterless/Clay Lube/Detail Spray), 128 oz.","","421 ratings","McKee's 37","B01N4SPEXT","","","","There are 0 reviews and 0 ratings from Singapore","421 global ratings","https://www.amazon.sg/McKees-37-Rinseless-Waterless-Detail/dp/B01N4SPEXT/ref=zg_bs_automotive_sccl_4/356-6484440-7347308?psc=1"
"2022-12-24","BOSCH Rear Wiper Blade A282H/3397008634 Original Equipment Replacement- 11"" (Pack of 1)","S$15.13","120,615 ratings","Bosch Automotive","B0042ETBEQ","in Car Windscreen Wiper Blades","Amazon Japan","4.7 out of 5 stars","","120,615 global ratings","https://www.amazon.sg/A282H-3397008634-Original-Equipment-Replacement/dp/B0042ETBEQ/ref=zg_bs_automotive_sccl_5/356-6484440-7347308?psc=1"
"2022-12-24","3M PN39040LT LEATHER & VINYL RESTORER 400ML","","6 ratings","","B0869THJLD","","","","","6 global ratings","https://www.amazon.sg/3M-PN39040LT-LEATHER-VINYL-RESTORER/dp/B0869THJLD/ref=zg_bs_automotive_sccl_6/356-6484440-7347308?psc=1"
"2022-12-24","AstroAI Multimeter 2000 Counts Digital Multimeter with DC AC Voltmeter and Ohm Volt Amp Tester ; Measures Voltage, Current, Resistance; Tests Live Wire, Continuity","S$68.30","32,523 ratings","AstroAI","","","Pharmacy Singapore","4.5 out of 5 stars","","32,523 global ratings","https://www.amazon.sg/AstroAI-Multimeter-Voltmeter-Resistance-Continuity/dp/B01ISAMUA6/ref=zg_bs_automotive_sccl_7/356-6484440-7347308?psc=1"
"2022-12-24","Oakley Airbrake MX Replacement Foam Faceplate","","33 ratings","Oakley","","in Motorcycle Eyewear","","","There are 0 reviews and 1 rating from Singapore","33 global ratings","https://www.amazon.sg/Oakley-Airbrake-Goggles-Replacement-Faceplate/dp/B00EHIWJ28/ref=zg_bs_automotive_sccl_8/356-6484440-7347308?psc=1"
"2022-12-24","BOSCH A558S Flat Wiper Blade for Import Vehicles, For Aero Twin Vehicles, 27.6 / 15.7 inches (700 / 400 mm)","S$49.86","191 ratings","ボッシュ(BOSCH)","B00BJLURES","","Amazon Japan","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","191 global ratings","https://www.amazon.sg/BOSCH-A558S-Wiper-Vehicles-inches/dp/B00BJLURES/ref=zg_bs_automotive_sccl_9/356-6484440-7347308?psc=1"
"2022-12-24","Muc Off Foldable Waterproof Bike Mat, Black, one Size","","551 ratings","Muc Off","B00DDMU7H8","","","4.5 out of 5 stars","There are 0 reviews and 1 rating from Singapore","551 global ratings","https://www.amazon.sg/Muc-Off-Foldable-Waterproof-Black/dp/B00DDMU7H8/ref=zg_bs_automotive_sccl_10/356-6484440-7347308?psc=1"
"2022-12-24","5FT Power Twist V-Belt, Adjustable Link V-Belt 1/2-Inch x 5 Feet (A Type),Perfect for Lathes, Table Saws and Other Woodworking Tools","","241 ratings","","B0875LPSYC","","","4.5 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","241 global ratings","https://www.amazon.sg/V-Belt-Adjustable-2-Inch-Perfect-Woodworking/dp/B0875LPSYC/ref=zg_bs_automotive_sccl_11/356-6484440-7347308?psc=1"
