"Date","Title","Price","No of Rating","Manufacturer","ASIN","Best_Seller_In","Sold By","Rating","International Ratings","Global Rating","Url"
"2022-12-24","Armor All 2-In-1 Microfibre Noodle Wash Mitt 1s","","1,786 ratings","Armor All","B00ODZI8X4","","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","1,786 global ratings","https://www.amazon.sg/Armor-All-Microfibre-Noodle-Wash/dp/B00ODZI8X4/ref=zg_bs_automotive_sccl_12/356-6484440-7347308?psc=1"
"2022-12-24","Chemical Guys AIR_300 New Car Scent and Leather Scent Combo Pack (16 oz) (2 Items)","","8,963 ratings","Chemical Guys","B00FF1K7BQ","","","","","8,963 global ratings","https://www.amazon.sg/Chemical-Guys-AIR_300-Scent-Leather/dp/B00FF1K7BQ/ref=zg_bs_automotive_sccl_13/356-6484440-7347308?psc=1"
"2022-12-24","2 wipers Factory For VW Passat Golf Audi A3 S3 RS3 Original Equipment Replacement Wiper Blade - 26""/18"" (Set of 2) Top Lock 16mm","","2,510 ratings","ANRDDO","B08X3FF4BZ","","","4.5 out of 5 stars","","2,510 global ratings","https://www.amazon.sg/wipers-Factory-Original-Equipment-Replacement/dp/B08X3FF4BZ/ref=zg_bs_automotive_sccl_14/356-6484440-7347308?psc=1"
"2022-12-24","Armor All Wash & Wax Speed Shine 1L","","179 ratings","Armor All","B0001OZH1W","","","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","179 global ratings","https://www.amazon.sg/Armor-All-Wash-Speed-Shine/dp/B0001OZH1W/ref=zg_bs_automotive_sccl_15/356-6484440-7347308?psc=1"
"2022-12-24","GoPro Enduro - 2 Pack, Black (ADBAT-211)","","107 ratings","GoPro","B09ZJXBB4Z","","","4.6 out of 5 stars","","107 global ratings","https://www.amazon.sg/GoPro-Enduro-Pack-Black-ADBAT-211/dp/B09ZJXBB4Z/ref=zg_bs_automotive_sccl_16/356-6484440-7347308?psc=1"
"2022-12-24","Renuzit Gel Air Fresher, Pure Breeze, 198 Grams","","3,137 ratings","Renuzit","B0031QJKI8","","","4.3 out of 5 stars","","3,137 global ratings","https://www.amazon.sg/Renuzit-Fresher-Pure-Breeze-Grams/dp/B0031QJKI8/ref=zg_bs_automotive_sccl_17/356-6484440-7347308?psc=1"
"2022-12-24","Wheel Accessories Parts Set of 20 Black 12x1.25 Lug Bolt Kit Cone Seat Acorn 17mm Hex, 28mm Shank Length, M12x1.25 Thread Cone Lug Bolts for Aftermarket Wheels (20, Black, 12 1.25)","","107 ratings","Wheel Accessories Parts","B09H7R8BLX","","","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","107 global ratings","https://www.amazon.sg/Wheel-Accessories-Parts-Bolt-Acorn/dp/B09H7R8BLX/ref=zg_bs_automotive_sccl_18/356-6484440-7347308?psc=1"
"2022-12-24","Goo Gone Automotive Spray Gel, 355ml","","2,147 ratings","Goo Gone","B00MTV7OG6","","","4.3 out of 5 stars","","2,147 global ratings","https://www.amazon.sg/Goo-Gone-Automotive-Spray-355ml/dp/B00MTV7OG6/ref=zg_bs_automotive_sccl_19/356-6484440-7347308?psc=1"
"2022-12-24","Ceramic Spray Coating for Cars, High Gloss Anti-Protection Car Scratch Nano Ceramic Coating Spray, UV Protection Car Wax Polish Spray for Car Exterior Care","","","","B0B39BBRB5","","","","","","https://www.amazon.sg/Ceramic-Coating-Anti-Protection-Protection-Exterior/dp/B0B39BBRB5/ref=zg_bs_automotive_sccl_20/356-6484440-7347308?psc=1"
"2022-12-24","Daytona HIGHSIDER 96702 Motorcycle Bar End Mirror Adapter, Left and Right Set, Compatible with Yamaha 0.6 inch (16 mm) Bolts, MT-07/MT09/XSR900, etc","S$28.78","99 ratings","デイトナ(Daytona)","B0753KX7B7","in Motorcycle Frames & Fittings","Amazon Japan","","There are 0 reviews and 0 ratings from Singapore","99 global ratings","https://www.amazon.sg/Daytona-HIGHSIDER-96702-Motorcycle-Compatible/dp/B0753KX7B7/ref=zg_bs_automotive_sccl_21/356-6484440-7347308?psc=1"
"2022-12-24","Cathedral Art Crucifix Car Charm","","25 ratings","","B00HIXURSW","in Automotive Merchandise Key Rings","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","25 global ratings","https://www.amazon.sg/Cathedral-Art-Crucifix-Car-Charm/dp/B00HIXURSW/ref=zg_bs_automotive_sccl_22/356-6484440-7347308?psc=1"
"2022-12-24","Weiman Leather Wipes, 7 x 8 Inches, (Pack of 30)","","6,217 ratings","","B00119XYFM","","","4.5 out of 5 stars","","6,217 global ratings","https://www.amazon.sg/Weiman-Leather-Wipes-Inches-Pack/dp/B00119XYFM/ref=zg_bs_automotive_sccl_23/356-6484440-7347308?psc=1"
"2022-12-24","EBC Brakes DP41988R Yellowstuff Street and Track Brake Pad","","13 ratings","EBC Brakes","B002801FKO","in Car Brake Pads","","","There are 0 reviews and 0 ratings from Singapore","13 global ratings","https://www.amazon.sg/EBC-Brakes-DP41988R-Yellowstuff-Street/dp/B002801FKO/ref=zg_bs_automotive_sccl_24/356-6484440-7347308?psc=1"
"2022-12-24","kemimoto ATV Cup Holder Metal Swivel Motorcycle Drink Holder Compatible with Harley Honda Suzuki Yamaha Can Am Rollator Walker Wheelchair Pushchair Bicycle","","3,641 ratings","kemimoto","B07CTM88PH","in Car Stowing & Tidying","","","There are 0 reviews and 0 ratings from Singapore","3,641 global ratings","https://www.amazon.sg/kemimoto-Motorcycle-Compatible-Wheelchair-Pushchair/dp/B07CTM88PH/ref=zg_bs_automotive_sccl_25/356-6484440-7347308?psc=1"
"2022-12-24","Oznium Brightest Light Bolt - Flush Mount 12V LED Light for Bumper, Grille, Cars Interior, Dash, Ambient Lighting, Motorcycle w/Sleek Aluminum Housing & Screw Nut (11 mm Black, Cool White LED)","","2,080 ratings","Oznium","B01ADHUXGU","in Car Lights, Bulbs & Indicators","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","2,080 global ratings","https://www.amazon.sg/Oznium-Brightest-Light-Bolt-Motorcycle/dp/B01ADHUXGU/ref=zg_bs_automotive_sccl_26/356-6484440-7347308?psc=1"
"2022-12-24","Ceramic Car Shampoo, Adds Hydrophobic Protection With Every Wash | Cleans and Maintains Ceramic Coatings, Waxes or Sealants | Fortified With Sio2 Ingredients For Incredible Shine","","648 ratings","Ethos Handcrafted Car Care","B07H1LTQX8","","","4.5 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","648 global ratings","https://www.amazon.sg/Car-Hydrophobic-Protection-Ingredients-Incredible/dp/B07H1LTQX8/ref=zg_bs_automotive_sccl_27/356-6484440-7347308?psc=1"
"2022-12-24","Ethos Wheel Cleaner - Tough on Brake Dust | Safe on All Wheel Finishes | Color Change Technology | Professional Strength Formula (16 Oz)","","181 ratings","Ethos Handcrafted Car Care","B07K6XPTKR","","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","181 global ratings","https://www.amazon.sg/Ethos-Wheel-Cleaner-Technology-Professional/dp/B07K6XPTKR/ref=zg_bs_automotive_sccl_28/356-6484440-7347308?psc=1"
"2022-12-24","Antigravity Battery Tracker Bluetooth Monitor System BTR-2 for 12V Lead/Acid Vehicle Batteries, Test Voltage Cranking Charging","","57 ratings","Antigravity Batteries","B07NSTQCM8","","","4.5 out of 5 stars","","57 global ratings","https://www.amazon.sg/Antigravity-Bluetooth-Batteries-Cranking-Charging/dp/B07NSTQCM8/ref=zg_bs_automotive_sccl_29/356-6484440-7347308?psc=1"
"2022-12-24","Hawaiian Scent Car Air Freshener Clip, 6 Car Freshener Vent Clips, 4ml Each, Long Lasting Air Freshener for Car, Up to 180 Days Car Refresher Odor Eliminator","","9,631 ratings","Airbreezy","B07LGMVMG5","","","","There are 0 reviews and 0 ratings from Singapore","9,631 global ratings","https://www.amazon.sg/Hawaiian-Freshener-Lasting-Refresher-Eliminator/dp/B07LGMVMG5/ref=zg_bs_automotive_sccl_30/356-6484440-7347308?psc=1"
"2022-12-24","Kuryakyn 5628 Motorcycle Handlebar Accessory: Spear Hand Grips for 2015-19 Indian Scout Motorcycles, Chrome, 1 Pair","","41 ratings","Kuryakyn","B07SCFZ6GD","in Motorcycle Handlebars, Controls & Grips","","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","41 global ratings","https://www.amazon.sg/Kuryakyn-5628-Motorcycle-Handlebar-Accessory/dp/B07SCFZ6GD/ref=zg_bs_automotive_sccl_31/356-6484440-7347308?psc=1"
"2022-12-24","Left/Right Side Universal Adjustable Car RV Seat Armrest Hand Holder For Camper Van Motorhome Boat Truck Car Accessories Zgywmz (Color Name : Left)","","","","B09G9T8DRR","","","","","","https://www.amazon.sg/Universal-Adjustable-Motorhome-Accessories-Zgywmz/dp/B09G9T8DRR/ref=zg_bs_automotive_sccl_32/356-6484440-7347308?psc=1"
"2022-12-24","SMT-OEM Style Mirror Compatible With 2004 2005 Suzuki Gsxr 600 750 Gsx-R Gsx-R750 Black [B00RNISPHM]","","","","B00RNISPHM","","","","","","https://www.amazon.sg/SMT-OEM-Mirror-Compatible-Gsx-R750-B00RNISPHM/dp/B00RNISPHM/ref=zg_bs_automotive_sccl_33/356-6484440-7347308?psc=1"
"2022-12-24","Pivot Works PWSSK-H04-420 Steering Stem Bearing Kit, Red","","14 ratings","Pivot Works","B000GU34CA","","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","14 global ratings","https://www.amazon.sg/Pivot-Works-PWSSK-H04-420-Steering-Bearing/dp/B000GU34CA/ref=zg_bs_automotive_sccl_34/356-6484440-7347308?psc=1"
"2022-12-24","Ultra-Soft Detailing Brush Set, Comfortable Grip and Scratch-Free Cleaning for Exterior, Interior Panels, Emblems, Badges, Gauge Cluster, Infotainment Screen (Sets)","","177 ratings","","B09QZ9KCC4","in Automotive Brushes & Dusters","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","177 global ratings","https://www.amazon.sg/Ultra-Soft-Detailing-Comfortable-Scratch-Free-Infotainment/dp/B09QZ9KCC4/ref=zg_bs_automotive_sccl_35/356-6484440-7347308?psc=1"
"2022-12-24","A-Premium Electric Fuel Pump Module Assembly Replacement for Honda Civic 2002-2005 l4 1.3L 1.7L 2.0L E8566M","","96 ratings","","B075C7K4QZ","","","","There are 0 reviews and 0 ratings from Singapore","96 global ratings","https://www.amazon.sg/Premium-Electric-Assembly-Replacement-2002-2005/dp/B075C7K4QZ/ref=zg_bs_automotive_sccl_36/356-6484440-7347308?psc=1"
"2022-12-24","5.1"" Gear Stick Shifter Knobs, Heavy Weighted Car Shift Head Knob with Aluminum Alloy Shifting Lever Fit Most Manual Automatic Vehicles with 3 Threaded Adapters M8 M10 M12 x 1.25, Black","","193 ratings","YJXIAN","B0916FNR88","","","","There are 0 reviews and 0 ratings from Singapore","193 global ratings","https://www.amazon.sg/Weighted-Aluminum-Shifting-Automatic-Vehicles/dp/B0916FNR88/ref=zg_bs_automotive_sccl_37/356-6484440-7347308?psc=1"
"2022-12-24","SIMPLE GREEN Bike Cleaner/Degreaser, 24oz","","175 ratings","SIMPLE GREEN","B008ZRJTES","","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","175 global ratings","https://www.amazon.sg/SIMPLE-GREEN-Bike-Cleaner-Degreaser/dp/B008ZRJTES/ref=zg_bs_automotive_sccl_38/356-6484440-7347308?psc=1"
"2022-12-24","PowerTye 1in x 8ft Cam Buckle Lashing Strap Made in USA with Protective Rubber Pad, Black 2-Pack","","744 ratings","Powertye","B07HJDWD7Z","in Motorcycle Accessories","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","744 global ratings","https://www.amazon.sg/PowerTye-Buckle-Lashing-Protective-Rubber/dp/B07HJDWD7Z/ref=zg_bs_automotive_sccl_39/356-6484440-7347308?psc=1"
"2022-12-24","Speed Master Wheel Brush (Speed Master)","","996 ratings","","B00E9E76F0","","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","996 global ratings","https://www.amazon.sg/Speed-Master-Wheel-Brush/dp/B00E9E76F0/ref=zg_bs_automotive_sccl_40/356-6484440-7347308?psc=1"
"2022-12-24","PIVOT (GT GAUGE60) OBD Type Boost Meter GOB","S$145.26","","","","","Amazon Japan","","","","https://www.amazon.sg/PIVOT-GAUGE60-Boost-Meter-GOB/dp/B08G88BRZD/ref=zg_bs_automotive_sccl_41/356-6484440-7347308?psc=1"
"2022-12-24","Stander Cup Holder Accessory for Stander and Able Life Tray Tables","","571 ratings","Stander","B073V1527T","","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","571 global ratings","https://www.amazon.sg/Stander-Holder-Accessory-Able-Tables/dp/B073V1527T/ref=zg_bs_automotive_sccl_42/356-6484440-7347308?psc=1"
"2022-12-24","Bullsone Grasse Diffuser Air Freshener, Grapefruit & Peony, 105ml","","41 ratings","Bullsone","B078X82BGX","","","","There are 0 reviews and 0 ratings from Singapore","41 global ratings","https://www.amazon.sg/Bullsone-Grasse-Diffuser-Freshener-Grapefruit/dp/B078X82BGX/ref=zg_bs_automotive_sccl_43/356-6484440-7347308?psc=1"
"2022-12-24","Motorcycle Gas Tank Pad Protector For REBEL500 REBEL300 REBEL CMX 500 CM500 CM300 Gas Fuel Oil Stickers Decal Protector Tank Traction Pad","","","","B0BJMWPMDB","","","","","","https://www.amazon.sg/Motorcycle-Protector-REBEL500-REBEL300-Stickers/dp/B0BJMWPMDB/ref=zg_bs_automotive_sccl_44/356-6484440-7347308?psc=1"
"2022-12-24","K&N Engine Air Filter: High Performance, Premium, Washable, Replacement Filter: Compatible 2012-2018 Toyota/Citreon/Peugeot Hybrid (Prius, Corolla, Aygo, C-HR, Yaris, Tank, Aqua, C1 II, 108) 33-2485","","232 ratings","K&N","B00CR9WVUE","in Car Filters","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","232 global ratings","https://www.amazon.sg/Engine-Air-Filter-Performance-Replacement/dp/B00CR9WVUE/ref=zg_bs_automotive_sccl_45/356-6484440-7347308?psc=1"
"2022-12-24","Mazda Seat Belt Cover Shoulder Pads Mazda2 Mazda3 Mazda5 Mazda6 RX8","","","","B00CKCZNTY","","","","There are 0 reviews and 0 ratings from Singapore","","https://www.amazon.sg/Shoulder-Mazda2-Mazda3-Mazda5-Mazda6/dp/B00CKCZNTY/ref=zg_bs_automotive_sccl_46/356-6484440-7347308?psc=1"
"2022-12-24","Mellbree Tire Valve Extensions, 8.25 Inch Flexible Schrader Tire Valve Stem Extension with 90 Degree Schrader Tire Valve Stem Extension Adaptor Compatible for Harleys, RV, Bicycles, Motorcycles（2pcs）","","206 ratings","","B093F5LNZC","","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","206 global ratings","https://www.amazon.sg/Mellbree-Extensions-Extension-Compatible-Motorcycles%EF%BC%882pcs%EF%BC%89/dp/B093F5LNZC/ref=zg_bs_automotive_sccl_47/356-6484440-7347308?psc=1"
"2022-12-24","Air Motorcycle Seat Cushion Pressure Relief Ride Seat Pad Large for Cruiser Touring Saddles, Shock Absorption, Water Inflatable (Black)","","1,252 ratings","Aquacapsule","B07XT9PR1Q","","","","There are 0 reviews and 0 ratings from Singapore","1,252 global ratings","https://www.amazon.sg/Motorcycle-Cushion-Pressure-Absorption-Inflatable/dp/B07XT9PR1Q/ref=zg_bs_automotive_sccl_48/356-6484440-7347308?psc=1"
"2022-12-24","Bosch IMC500 5-Piece Impact MultiConstruction Drill Bit Set","","1,821 ratings","BOSCH","B01NCNXKOM","in Drill Bits","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","1,821 global ratings","https://www.amazon.sg/Bosch-IMC500-5-Piece-Impact-MultiConstruction/dp/B01NCNXKOM/ref=zg_bs_automotive_sccl_49/356-6484440-7347308?psc=1"
"2022-12-24","Sonax Car Care Products 314 300 Gloss Shampoo","","4,343 ratings","Sonax Car Care Products","B000S6AQOQ","","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","4,344 global ratings","https://www.amazon.sg/Sonax-Car-Care-Products-Shampoo/dp/B000S6AQOQ/ref=zg_bs_automotive_sccl_50/356-6484440-7347308?psc=1"
"2022-12-24","Autoglym SRP001 Car Super Resin Polish, 1L","","12,028 ratings","Autoglym","B009LHHHZE","","","4.6 out of 5 stars","","12,028 global ratings","https://www.amazon.sg/Autoglym-SRP001-Super-Resin-Polish/dp/B009LHHHZE/ref=zg_bs_automotive_sccl_1/356-6484440-7347308?psc=1"
"2022-12-24","Mann Filter CUK 2450 Cabin Air Filter","S$41.68","1,797 ratings","","","in Motorcycle Air Filters","Amazon Japan","","There are 0 reviews and 0 ratings from Singapore","1,797 global ratings","https://www.amazon.sg/Mann-Filter-CUK-2450-Cabin/dp/B00692TZ54/ref=zg_bs_automotive_sccl_2/356-6484440-7347308?psc=1"
"2022-12-24","Genuine Toyota (90982-06059) Battery Terminal Assembly","S$15.79","62 ratings","","B00JPKTGGA","","Amazon Japan","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","62 global ratings","https://www.amazon.sg/Genuine-90982-06059-Battery-Terminal-Assembly/dp/B00JPKTGGA/ref=zg_bs_automotive_sccl_3/356-6484440-7347308?psc=1"
"2022-12-24","Jelly Belly Mojito Duo Vent Air Freshener","","","Jelly Belly","B08ZMZG75S","","","","","","https://www.amazon.sg/Jelly-Belly-Mojito-Vent-Freshener/dp/B08ZMZG75S/ref=zg_bs_automotive_sccl_4/356-6484440-7347308?psc=1"
"2022-12-24","Nikwax Visor Proof Spray-On Waterproofing","","685 ratings","Nikwax","B001GUMQI2","in Motorcycle Clothing","","4.3 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","685 global ratings","https://www.amazon.sg/Nikwax-Visor-Proof-Spray-On-Waterproofing/dp/B001GUMQI2/ref=zg_bs_automotive_sccl_5/356-6484440-7347308?psc=1"
"2022-12-24","PG Microfiber - Finishing","","","","B09QCDW4NL","in Automotive Cloths","","","","","https://www.amazon.sg/Perma-Glass-PG-Microfiber-Finishing/dp/B09QCDW4NL/ref=zg_bs_automotive_sccl_6/356-6484440-7347308?psc=1"
"2022-12-24","Key Cap Remover Tool | Keycap Puller For Mechanical Keyboard,Gaming Keycaps Remover, Remove Fixing Keyboard Tools For Keyboard Universal Tabe-sg","","","Generic","B0BLR8S7RW","in Car Towing Products & Winches","","","","","https://www.amazon.sg/Remover-Mechanical-Keyboard-Keycaps-Universal/dp/B0BLR8S7RW/ref=zg_bs_automotive_sccl_7/356-6484440-7347308?psc=1"
"2022-12-24","Packtalk EDGE 2ND HELMET KIT With Sound By JBL, Black","","9 ratings","","B0B495VC19","","","","There are 0 reviews and 1 rating from Singapore","9 global ratings","https://www.amazon.sg/Packtalk-EDGE-HELMET-Sound-Black/dp/B0B495VC19/ref=zg_bs_automotive_sccl_8/356-6484440-7347308?psc=1"
"2022-12-24","Glade Scented Gel, Ocean Escape, 180g","","10 ratings","","B00EPUWC4S","","","","","10 global ratings","https://www.amazon.sg/Glade-Scented-Ocean-Escape-180g/dp/B00EPUWC4S/ref=zg_bs_automotive_sccl_9/356-6484440-7347308?psc=1"
"2022-12-24","Sumikko Gurashi Coil Keychain Tonkatsu Shrimp Fly Tail","","","サンエックス(San-X)","","","","","","","https://www.amazon.sg/Sumikko-Gurashi-Keychain-Tonkatsu-Shrimp/dp/B07T89H4SX/ref=zg_bs_automotive_sccl_10/356-6484440-7347308?psc=1"
"2022-12-24","Enet obd2 Ethernet Rj45 E-sys Cable Tools I-COM E-SYS I-STA | Bootmod3 Bimmercode OBD2 f Series Connector","","179 ratings","AntiBreak","","","","4.6 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","179 global ratings","https://www.amazon.sg/Ethernet-Cable-Bootmod3-Bimmercode-Connector/dp/B07D8RHBNB/ref=zg_bs_automotive_sccl_11/356-6484440-7347308?psc=1"
"2022-12-24","ANanCrog Cleaning Gel for Car, Car Universal Detailing Automotive Dust Cleaner Auto Air Vent Interior Detail Removal Putty Cleaning Keyboard Cleaner for Car Vents, PC, Laptops, Cameras, Printers","","56,726 ratings","ANanCrog","B081T7N948","in Automotive Tire & Wheel Tools","","","There are 0 reviews and 0 ratings from Singapore","56,726 global ratings","https://www.amazon.sg/ANanCrog-Car-Universal-Detailing-Automotive/dp/B081T7N948/ref=zg_bs_automotive_sccl_12/356-6484440-7347308?psc=1"
"2022-12-24","VARSK 4-in-1 Car Vacuum Cleaner, Tire Inflator Portable Air Compressor with Digital Tire Pressure Gauge LCD Display and LED Light, 12V DC Air Compressor Pump, 15FT Cord, Bonus HEPA Filter and Nozzles","","6,911 ratings","VARSK","B0895L1N7G","","","","There are 0 reviews and 0 ratings from Singapore","6,911 global ratings","https://www.amazon.sg/VARSK-Inflator-Portable-Compressor-Pressure/dp/B0895L1N7G/ref=zg_bs_automotive_sccl_13/356-6484440-7347308?psc=1"
"2022-12-24","WARN 92093 Epic 3/4"" Steel Winch D-Ring Shackle with 7/8"" Pin: 9 Ton (18,000 lb) Capacity, Black","","1,706 ratings","","B00H4PFO64","","","","There are 0 reviews and 0 ratings from Singapore","1,706 global ratings","https://www.amazon.sg/WARN-92093-Steel-D-Ring-Shackle/dp/B00H4PFO64/ref=zg_bs_automotive_sccl_14/356-6484440-7347308?psc=1"
"2022-12-24","Philips H11 Vision Upgrade Headlight Bulb with up to 30% More Vision, 2 Pack,12362PRB2","","819 ratings","PHILIPS","B00P2D4C36","","","","","819 global ratings","https://www.amazon.sg/Philips-Vision-Upgrade-Headlight-12362PRB2/dp/B00P2D4C36/ref=zg_bs_automotive_sccl_15/356-6484440-7347308?psc=1"
"2022-12-24","Slime 50123 Flat Tire Repair Kit (Digital)","","1,002 ratings","","B0732F1YZX","in Automotive Tire Repair Tools & Kits","","4.4 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","1,002 global ratings","https://www.amazon.sg/Slime-50123-Flat-Repair-Digital/dp/B0732F1YZX/ref=zg_bs_automotive_sccl_16/356-6484440-7347308?psc=1"
"2022-12-24","DEWALT Drill Bit Set, Black and Gold, 14-Piece (DWA1184)","","7,149 ratings","DEWALT","B07DH55YRX","","","4.7 out of 5 stars","There are 0 reviews and 0 ratings from Singapore","7,149 global ratings","https://www.amazon.sg/DEWALT-Drill-Black-14-Piece-DWA1184/dp/B07DH55YRX/ref=zg_bs_automotive_sccl_17/356-6484440-7347308?psc=1"
"2022-12-24","Klein Tools VDV526-200 Cable Tester, LAN Scout Jr. 2 Ethernet Cable Tester for CAT 5e, CAT 6/6A Cables with RJ45 Connections","","578 ratings","Klein Tools","","","","","There are 0 reviews and 0 ratings from Singapore","578 global ratings","https://www.amazon.sg/Klein-Tools-VDV526-200-Ethernet-Connections/dp/B0925826M2/ref=zg_bs_automotive_sccl_18/356-6484440-7347308?psc=1"
